Date,Target,Price_vs_SMA5,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,SMA5_trend,SMA20_trend,RSI_14,RSI_7,RSI_oversold,RSI_overbought,RSI_neutral,BB_width,BB_position,BB_squeeze,Volume_ratio,Volume_rank,MACD_histogram,MACD_normalized,Rolling_Std_20,Return_1d,Return_3d,Return_5d,Return_1d_lag1,Return_3d_lag1,Return_5d_lag1,Volatility_5d,Volatility_20d,Volatility_ratio,Daily_range,Gap,Trend_strength
2016-01-15,2,-2.5138830789273037,-4.13912137153078,-7.274182964738298,-15.268234200735042,-1,-1,29.125473112446187,25.548045780259997,0,0,1,8.883699778345644,0.04912533284527851,0,1.257942668936446,0.86,-0.16799557695051393,-1.46635641247446,2.278620914751577,-0.03959671534928633,-0.02271062843420868,-0.013313603469696011,-0.006437978598483496,0.024336224645646887,0.007982297243003034,0.023540133377386425,0.017260438571302706,1.3638201184832217,0.053223398125952,-0.2879627651919963,-0.6056344070967542
2016-01-18,2,-1.6693510298682575,-2.5257662421532356,-6.057640904219291,-14.423715894735187,-1,-1,31.047620342630083,29.69660946571041,0,0,1,8.898610976689753,0.1275172373050929,0,0.7989012982720454,0.44,-0.14119725471742628,-1.4058869302046118,2.2824455564277555,0.006746623606301627,-0.039342006420155395,-0.009586959723802746,-0.03959671534928633,-0.02271062843420868,-0.013313603469696011,0.023817152911842943,0.01752536703209706,1.3590102203407615,0.021593439638885485,-6.81824844910853e-07,-0.31034234931515003
2016-01-19,2,-0.41036559756502555,-0.7594452593880696,-4.47739217809876,-13.125181913313277,-1,-1,34.45114464592828,36.97993737290035,0,0,1,8.8649223050177,0.22497392428235669,0,0.7556398995520668,0.32,-0.057461560931062916,-1.3077648031387505,2.2738045944662484,0.011913760985035715,-0.021598025725185988,-0.004395480669858842,0.006746623606301627,-0.039342006420155395,-0.009586959723802746,0.024388679524622817,0.01774753723184005,1.3742007809888233,0.028697647657986478,2.2338231248932092,-0.1282082904259515
2016-01-20,2,-3.8862400163455693,-4.828602835077149,-8.585590219811175,-17.068156205087117,-1,-1,28.10234295617738,24.4306253468488,0,0,1,9.452611852382049,0.009046623859729291,0,1.1057097221075889,0.68,-0.1474758904425495,-1.322332511392577,2.424543782801882,-0.05003689278080037,-0.03223386003981732,-0.07653797244595917,0.011913760985035715,-0.021598025725185988,-0.004395480669858842,0.02784777307825355,0.020342326796779407,1.3689571186449725,0.02943454200509089,-2.207516379807022,-1.0
2016-01-21,2,0.2551438551467594,-1.2053470513364395,-4.833131887389305,-13.815342108945147,-1,-1,36.44876285457492,40.11943107606076,0,0,1,9.200338015307082,0.21773573048867337,0,1.1527042113694559,0.72,-0.06532490547355074,-1.233264737927257,2.35983690889279,0.034856760689631505,-0.005212126645334214,-0.03815675129528939,-0.05003689278080037,-0.03223386003981732,-0.07653797244595917,0.036101104984928384,0.022345196816622406,1.6156091745888348,0.03592810239391879,1.3168113968425175,0.7500029225946709
2016-01-22,1,5.434620180962878,4.7443937103007805,1.5655667652812115,-7.849605893868117,1,-1,48.93340776131648,59.36588708711647,0,0,1,9.019486667087023,0.5931458713733673,0,1.8581884929938617,0.98,0.2256095711663888,-0.9965275032928033,2.3134495168379887,0.06586821969536172,0.04782919298866295,0.06746631077562815,0.034856760689631505,-0.005212126645334214,-0.03815675129528939,0.04267001078770315,0.026749384311811602,1.595177305402934,0.03651683558963023,5.389208598822684,0.42307633015868906
2016-01-25,1,2.556574643207865,2.3835833381765577,-0.21085979113048048,-9.361231269881436,1,-1,45.847215262216686,53.03782762296423,0,0,1,8.803413915799922,0.4871750647441051,0,0.9052470353937854,0.48,0.3482996612541469,-0.8422199374362477,2.258028025513981,-0.019662810464323277,0.08133244160913966,0.039464050329938605,0.06586821969536172,0.04782919298866295,0.06746631077562815,0.04532416129371297,0.027076697436905627,1.673917633394093,0.02936956555943256,0.4213571083881244,-0.7073163101708841
2016-01-26,0,3.969753116353531,4.37956372181,2.3329068211984745,-6.914370246170937,1,-1,49.9731916104372,59.199117478769864,0,0,1,8.605895188715209,0.6449881207874941,0,0.8679515514912965,0.44,0.5097520833331726,-0.645787007521756,2.2073655409838953,0.024355206655787498,0.07035926010666849,0.052244225881945106,-0.019662810464323277,0.08133244160913966,0.039464050329938605,0.04589038401528636,0.02769689029071989,1.6568785713341392,0.047552509803930436,-1.7192050916074675,1.0
2016-01-27,0,2.7592144592373087,5.113853144647154,3.5768157708414363,-5.686226839593565,1,-1,51.72089386968094,61.780057350800966,0,0,1,8.144039623086755,0.7345159452385693,0,0.6594435438927913,0.22,0.639465889706182,-0.44953689416839,2.0889020879526874,0.010489597976224063,0.014747300322404788,0.11928751411911653,0.024355206655787498,0.07035926010666849,0.052244225881945106,0.03145061467572735,0.027380679406006386,1.1486425960938047,0.02214526621828923,8.114735109371032e-06,0.6875056364419772
2016-01-28,2,-1.0563566724106483,2.0852823288193787,0.941142835741224,-8.054566142896501,1,-1,47.005011622793084,51.62104740449237,0,0,1,7.733041846612878,0.5648370961318032,0,1.2073988971723806,0.84,0.6066853190836199,-0.3528066707413358,1.983483382598354,-0.027681935361409726,0.006446701888389583,0.05164647982508197,0.010489597976224063,0.014747300322404788,0.11928751411911653,0.03750037050966563,0.02786549171525328,1.3457638175872675,0.05551593391094466,-0.3460437186598217,-0.4615414656605872
